นิติบุคคลจัดตั้งเดือนตุลาคม 2561,,,,,,,,,,,
ทั่วประเทศ,,,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,ตำบล,อำเภอ,จังหวัด,"รหัส
ไปรษณีย์"
23,0735561007037,บจ.เค ทู พี เอ็นเตอร์ไพร์ส จำกัด,1/10/2561," 1,000,000 ",46599,ประกอบกิจการซื้อ ขาย จำหน่าย อะไหล่ วัสดุ ชิ้นส่วนอุปกรณ์ อันเกี่ยวกับเครื่องจักร เครื่องยนต์ ยานพานะ,99/12  หมู่ที่ 4,ต.ลำพยา,อ.เมืองนครปฐม,จ.นครปฐม,73000
24,0735561007053,บจ.ทีทีซีจี จำกัด,1/10/2561," 1,000,000 ",47811,การขายปลีกผลิตภัณฑ์อาหารบนแผงลอยและตลาด,62/1  หมู่บ้าน 2,ต.วังตะกู,อ.เมืองนครปฐม,จ.นครปฐม,73000
25,0735561007070,บจ.ประพาพร โมไอน่า จำกัด,2/10/2561," 1,000,000 ",46312,การขายส่ง-ส่งออก สัตว์น้ำทุกชนิด เช่น  ลูกไร ปลา กุ้ง หอย ปู ปลาหมึก ทั้งชนิดสด แช่เย็น หรือแช่แข็ง,2/1  หมู่ที่ 5,ต.สามควายเผือก,อ.เมืองนครปฐม,จ.นครปฐม,73000
26,0735561007088,บจ.โรส สกินแคร์ แอนด์ คอสเมติคส์ จำกัด,2/10/2561," 1,000,000 ",47723,ประกอบกิจการ จำหน่ายทั้งปลีกและส่งผลิตภัณฑ์เครื่องสำอาง,70/64  หมู่ที่ 6,ต.บ่อพลับ,อ.เมืองนครปฐม,จ.นครปฐม,73000
27,0735561007169,บจ.ช.เจริญมอเตอร์เซลส์ จำกัด,4/10/2561," 1,000,000 ",45401,ประกอบกิจการค้ารถจักรยานยนต์และอุปกรณ์รถจักรยานยนต์,448  ถนนทหารบก,ต.พระปฐมเจดีย์,อ.เมืองนครปฐม,จ.นครปฐม,73000
28,0735561007215,บจ.วัฒน์ชัยการช่าง จำกัด,8/10/2561," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย  โกดัง โรงงาน  และงานก่อสร้างอย่างอื่นทุกชนิด รวมทั้งรับทำงานโยธาทุกประเภท,26/2  หมู่ที่ 2,ต.สระกะเทียม,อ.เมืองนครปฐม,จ.นครปฐม,73000
29,0735561007223,บจ.แมกซ์ มาวิน จำกัด,8/10/2561," 1,000,000 ",10801,ประกอบกิจการผลิต จำหน่าย อาหารสัตว์ เวชภัณฑ์ เคมีภัณฑ์ ยา ยาบำรุง วัคซีน อาหารเสริม และอุปกรณ์,48  ถนนยิงเป้าใต้,ต.สนามจันทร์,อ.เมืองนครปฐม,จ.นครปฐม,73000
30,0735561007240,บจ.คาร์เพ็นเตอร์ทูลส์ จำกัด,9/10/2561," 1,000,000 ",47525,ประกอบกิจการค้า วัสดุก่อสร้าง อุปกรณ์และเครื่องมือใช้ในการก่อสร้าง เครื่องมือช่างทุกประเภท สี เครื่องมือ ทาสี เครื่องตกแต่งอาคาร เครื่องเหล็ก เครื่องทองแดง เครื่องทองเหลือง เครื่องเคลือบ เครื่องสุขภั,147 ถนนราชมรรคา ,ต.สนามจันทร์,อ.เมืองนครปฐม,จ.นครปฐม,73000
31,0735561007304,บจ.แบล็ค แอนด์ ไวท์ จำกัด,11/10/2561," 1,000,000 ",47219,จัดจำหน่ายไอศกรีม ร้านสะดวกซื้อ ร้านอาหาร,59  หมู่ที่ 2,ต.วังเย็น,อ.เมืองนครปฐม,จ.นครปฐม,73000
32,0735561007321,บจ.บาย เฟิร์น ออร์แกไนเซอร์ จำกัด,11/10/2561," 1,000,000 ",82302,ประกอบกิจการให้บริการจัดกิจกรรมสันทนาการ บริหารการจัดงานและการจัดแสดงนิทรรศการ ให้บริการอุปกรณ์ด้านแสงสีเสียงและ ภาพ ผลิตสื่อสำหรับการนำเสนอการจัดกิจกรรมทางการตลาดและส่งเสริมการขาย,156  ถนนทรงพล,ต.สนามจันทร์,อ.เมืองนครปฐม,จ.นครปฐม,73000
33,0735561007479,บจ.สมาร์ท ออร์แกนิค กรีนเฮ้าส์ จำกัด,18/10/2561," 1,000,000 ",72109,การวิจัยและพัฒนาเชิงทดลองด้านวิศวกรรมและเทคโนโลยีอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,99/174  หมู่บ้าน แกรนด์วิลล์ หมู่ที่ 3,ต.ธรรมศาลา,อ.เมืองนครปฐม,จ.นครปฐม,73000
34,0735561007509,บจ.ฐานธนไชย จำกัด,19/10/2561," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพาน เขื่อน,88/112  หมู่ที่ 8,ต.บางแขม,อ.เมืองนครปฐม,จ.นครปฐม,73000
35,0735561007517,บจ.โกลเด้น ดราก้อน แอนด์ ไพน์ จำกัด,19/10/2561," 1,000,000 ",70209,ประกอบกิจการเป็นตัวแทน และเป็นที่ปรึกษาในการทำธุรกิจในประเทศ และต่างประเทศ รวมทั้งเป็นที่ปรึกษา ในการประกอบกิจการรับเหมาก่อสร้าง อาคาร อาคารสำนักงาน ถนน สะพาน เขื่อน และงานโยธาทุกประเภท,16/2  หมู่ที่ 7,ต.วังตะกู,อ.เมืองนครปฐม,จ.นครปฐม,73000
36,0735561007568,บจ.ริชเชส เพ็ทฟู้ด จำกัด,25/10/2561," 1,000,000 ",10802,ประกอบกิจการผลิต จำหน่าย อาหารสัตว์ เวชภัณฑ์ เคมีภัณฑ์ ยา ยาบำรุง วัคซีน อาหารเสริม และอุปกรณ์,137  ถนนยิงเป้าใต้,ต.สนามจันทร์,อ.เมืองนครปฐม,จ.นครปฐม,73000
37,0735561007592,บจ.จงเทพ จำกัด,26/10/2561," 1,000,000 ",59122,การบริการทำคอมพิวเตอร์กราฟฟิกแอนิเมชั่นและเทคนิคพิเศษ,96  ถนนมาลัยแมน,ต.หนองปากโลง,อ.เมืองนครปฐม,จ.นครปฐม,73000
38,0735561007665,บจ.โซ ออซั่ม จำกัด,30/10/2561," 1,000,000 ",62011,ประกอบธุรกิจทำแอปพลิเคชัน เว็บไซต์ และโปรแกรมคอมพิวเตอร์,113  หมู่ที่ 7,ต.พระประโทน,อ.เมืองนครปฐม,จ.นครปฐม,73000
39,0733561001321,หจ.ทองพูนเพิ่มคอนกรีต,19/10/2561," 1,000,000 ",41002,รับเหมาก่อสร้าง,90/383  หมู่ที่ 4,ต.หอมเกร็ด,อ.สามพราน,จ.นครปฐม,73110
40,0733561001355,หจ.ศิริปภา 168,26/10/2561," 1,000,000 ",46109,การประมูลเพื่อขายสินค้า และให้บริการ ตามวัตถุที่ประสงค์ให้แก่บุคคล นิติบุคคล และองค์การของรัฐ,119/13  หมู่ที่ 2,ต.บางเตย,อ.สามพราน,จ.นครปฐม,73110
41,0733561001380,หจ.บ้านริมสวน เนอร์สซิ่งโฮม,30/10/2561," 1,000,000 ",87301,กิจกรรมการดูแลรักษาในสถานที่ที่มีที่พักและมีคนดูแลประจำ สำหรับผู้สูงอายุ,30  หมู่ที่ 6,ต.บางกระทึก,อ.สามพราน,จ.นครปฐม,73110
42,0735561007291,บจ.พิลาส สิ่งทอ จำกัด,11/10/2561," 1,000,000 ",47511,ประกอบกิจการจำหน่างผ้าทุกชนิด และผลิตภัณฑ์จากสิ่งทอทุกชนิด,109/205  หมู่ที่ 2,ต.บางเตย,อ.สามพราน,จ.นครปฐม,73110
43,0735561007347,บจ.ไฮดา บิวตี้ จำกัด,11/10/2561," 1,000,000 ",46109,ประกอบกิจการส่งออก สินค้าไปต่างประเทศ และนำเข้าสินค้าจากต่างประเทศ,49/35  หมู่ที่ 1,ต.บางกระทึก,อ.สามพราน,จ.นครปฐม,73110
44,0735561007436,บจ.เบลเอเวอร์ โปรดักท์ จำกัด,17/10/2561," 1,000,000 ",47721,ประกอบกิจการจัดจำหน่าย ยาลดบวม หลังทำศัลยกรรมทุกชนิด,90/27  หมู่ที่ 1,ต.บางกระทึก,อ.สามพราน,จ.นครปฐม,73110
45,0735561007452,บจ.คูลเล่ เซ็นจูรี่ เซอร์วิส จำกัด,17/10/2561," 1,000,000 ",43210,ประกอบกิจการให้บริการติดตั้งระบบเครือข่ายคอมพิวเตอร์,58/15  หมู่ที่ 2,ต.ทรงคนอง,อ.สามพราน,จ.นครปฐม,73110
46,0735561007495,บจ.ฮั้วเจริญการไฟฟ้า จำกัด,19/10/2561," 1,000,000 ",46593,ประกอบกิจการจำหน่าย ซ่อมแซม อะไหล่เครื่องจักรกล เครื่องยนต์ ไดนาโม และวัสดุอุปกรณ์ที่เกี่ยวเนื่องทุกชนิด,138-139  หมู่ที่ 6,ต.ท่าข้าม,อ.สามพราน,จ.นครปฐม,73110
47,0733561001282,หจ.พูลสุข-รุ่งเรือง,16/10/2561," 1,000,000 ",46639,การขายส่งวัสดุก่อสร้างอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,157/3  หมู่ที่ 3,ต.งิ้วราย,อ.นครชัยศรี,จ.นครปฐม,73120
48,0735561007151,บจ.บ้านยิ้มสร้างบ้าน จำกัด,4/10/2561," 1,000,000 ",43210,ประกอบกิจการบริการ ออกแบบติดตั้ง ซ่อมบำรุงระบบไฟฟ้า,40/7  หมู่ที่ 2,ต.งิ้วราย,อ.นครชัยศรี,จ.นครปฐม,73120
49,0735561007258,บจ.ลิตเติ้ลโกทฟาร์ม จำกัด,9/10/2561," 1,000,000 ",10502,ประกอบกิจการผลิตและจำหน่าย นมและผลิตภัณฑ์จากนมทุกชนิด,19  หมู่ที่ 1,ต.โคกพระเจดีย์,อ.นครชัยศรี,จ.นครปฐม,73120
50,0735561007312,บจ.แอบโซลูท เคมิคอล จำกัด,11/10/2561," 1,000,000 ",49323,ประกอบกิจการ รับจ้างขนส่งสินค้า ขนย้ายทรัพย์สินและขนส่งอย่างอื่นทุกชนิด,44  หมู่ที่ 4,ต.บางแก้ว,อ.นครชัยศรี,จ.นครปฐม,73120
51,0735561007339,บจ.ดีคืน ดีวัน เซอร์วิส จำกัด,11/10/2561," 1,000,000 ",56101,ประกอบกิจการจำหน่าย อาหาร และเครื่องดื่มทุกชนิด,30/2  หมู่ที่ 3,ต.ขุนแก้ว,อ.นครชัยศรี,จ.นครปฐม,73120
52,0735561007371,บจ.ช้างอินเตอร์ฟู้ด จำกัด,12/10/2561," 1,000,000 ",46313,ประกอบกิจการผลิต แปรรูป ขายส่ง และขายปลีก ผักกาดดอง ขิงดอง กระเทียมดอง ผลไม้ดองทุกชนิด,"15/8,15/9  หมู่ที่ 4",ต.ศรีษะทอง,อ.นครชัยศรี,จ.นครปฐม,73120
53,0733561001304,หจ.เจ้อิ๋ว โภชนา,19/10/2561," 1,000,000 ",47219,ประกอบกิจการ จำหน่ายอาหารสด อาหารแห้ง อาหารสำเร็จรูป อาหารทะเล และเครื่องบริโภคอื่นทุกชนิด,167/34  หมู่ที่ 8,ต.บางเลน,อ.บางเลน,จ.นครปฐม,73130
54,0733561001339,หจ.ชาญกิจ พาณิชย์,24/10/2561," 1,000,000 ",56299,ประกอบกิจการรับเหมาทำอาหารทุกประเภท และจัดเบรคทั้งในและนอกสถานที่ โรงแรม บริษัท ภาครัฐ และเอกชน ทุกภาคส่วน,87/238  หมู่ที่ 1,ต.บางเลน,อ.บางเลน,จ.นครปฐม,73130
55,0735561007266,บจ.ศรีเรืองละมัย จำกัด,10/10/2561," 1,000,000 ",46322,ประกอบกิจการนำเข้า ตัวแทนจำหน่าย ขายส่ง ขายปลีก สินค้าเครื่องดื่มสมุนไพร กาแฟ ชาพร้อมดื่ม,91/2  หมู่ที่ 2,ต.บางไทรป่า,อ.บางเลน,จ.นครปฐม,73130
56,0735561007550,บจ.ฉือ หัง ฟู้ดส์ อินดัสทรี้ จำกัด,24/10/2561," 1,000,000 ",10799,ประกอบกิจการผลิต จำหน่าย อาหารขนม เครื่องดื่มทุกชนิด รวมทั้งสินค้าอุปโภคบริโภค ทุกชนิดทุกประเภท,112  หมู่ที่ 10,ต.ลำพญา,อ.บางเลน,จ.นครปฐม,73130
57,0733561001274,หจ.วิน วิน 20 กรุ๊ป,16/10/2561," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,75/1  หมู่ที่ 1,ต.ห้วยหมอนทอง,อ.กำแพงแสน,จ.นครปฐม,73140
58,0735561007401,บจ.ธนาทรัพย์สิริ คอนสตรัคชั่น จำกัด,12/10/2561," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์  อาคารที่พัก  งานก่อสร้างอย่างอื่นทุกชนิด,222  หมู่ที่ 5,ต.กำแพงแสน,อ.กำแพงแสน,จ.นครปฐม,73140
59,0735561007444,บจ.ทีพีเอส อิมปอร์ต เอ็กซ์ปอร์ต จำกัด,17/10/2561," 1,000,000 ",46102,ประกอบกิจการค้าข้าว นายหน้าค้าข้าว และส่งออกข้าวไปจำหน่ายยังต่างประเทศ,129/17  หมู่ที่ 10,ต.กำแพงแสน,อ.กำแพงแสน,จ.นครปฐม,73140
60,0735561007525,บจ.แฟมิลี่ เฟิสท์ สปา แอนด์ มาสสาจ จำกัด,22/10/2561," 1,000,000 ",96101,ประกอบกิจการให้บริการด้านการนวดแผน แผนโบราณ แผนไทย และนวดอโรมา ทุกประเภท,377  หมู่ที่ 1,ต.กำแพงแสน,อ.กำแพงแสน,จ.นครปฐม,73140
61,0735561007631,บจ.ซีเจ ทรัค 168 จำกัด,29/10/2561," 1,000,000 ",47524,ประกอบกิจการจำหน่าย รับซื้อ ขาย หิน ดิน ทราย ลูกรัง ขนส่งวัสดุทุกชนิด,155  หมู่ที่ 5,ต.หนองกระทุ่ม,อ.กำแพงแสน,จ.นครปฐม,73140
62,0735561007045,บจ.โพเลนาดกรุ๊ป จำกัด,1/10/2561," 1,000,000 ",90002,กิจกรรมด้านความบันเทิง,138  หมู่ที่ 8,ต.ห้วยพระ,อ.ดอนตูม,จ.นครปฐม,73150
63,0735561007207,บจ.เอ็นเจ กราฟิก พริ้นท์ จำกัด,8/10/2561," 1,000,000 ",18119,การพิมพ์ต่างๆเช่นหนังสือ สลาก โบรชัว แผ่นโฆษณา แต๊ตตาล็อก เป็นต้น โดยการใช้วิธีการพิมพ์แบบต่างๆ,168/41  หมู่ที่ 3,ต.ห้วยพระ,อ.ดอนตูม,จ.นครปฐม,73150
64,0735561007363,บจ.ไอยรา เออีซี จำกัด,11/10/2561," 1,000,000 ",46319,การขายส่งผลิตภัณฑ์อาหารอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,22  หมู่ที่ 5,ต.บ้านหลวง,อ.ดอนตูม,จ.นครปฐม,73150
65,0735561007576,บจ.กรีน โฮม ไรซ์ จำกัด,26/10/2561," 1,000,000 ",47525,ประกอบกิจการวัสดุก่อสร้าง อุปกรณ์ เครื่องมือเครื่องใช้ในการก่อสร้าง,84  หมู่ที่ 1,ต.บ้านหลวง,อ.ดอนตูม,จ.นครปฐม,73150
66,0735561007126,บจ.ชำนาญวาล์ว เอ็นจิเนียริ่ง จำกัด,3/10/2561," 1,000,000 ",43221,ประกอบกิจการบริการ ออกแบบ ติดตั้ง วาล์ว ท่อ ตะแกรง งานระบบปั๊มน้ำอุตสาหกรรมทุกประเภท,10/34  หมู่ที่ 4,ต.อ้อมใหญ่,อ.สามพราน,จ.นครปฐม,73160
67,0735561007142,บจ.แมกซ์เวล ซัพพลาย แอนด์ เซอร์วิส จำกัด,4/10/2561," 1,000,000 ",33121,ประกอบกิจการ ซ่อม บำรุงรักษา โรงงานอุตสาหกรรมและโรงไฟฟ้า,34  หมู่ที่ 2,ต.อ้อมใหญ่,อ.สามพราน,จ.นครปฐม,73160
68,0735561007398,บจ.วังเงิน จำกัด,12/10/2561," 1,000,000 ",47723,จำหน่ายผลิตภัณฑ์ความงามและเวชภัณฑ์,17/136  หมู่ที่ 8,ต.อ้อมใหญ่,อ.สามพราน,จ.นครปฐม,73160
69,0735561007614,บจ.อ้อมใหญ่ เคาะ พ่นสี จำกัด,29/10/2561," 1,000,000 ",45302,ประกอบกิจการ จำหน่ายอะไหล่ รถยนต์ทุกชนิด,5/3  หมู่ที่ 5,ต.อ้อมใหญ่,อ.สามพราน,จ.นครปฐม,73160
70,0733561001266,หจ.ส.พูลเกิดทรัพย์  1968,10/10/2561," 1,000,000 ",41001,การก่อสร้างอาคารที่พักอาศัย,1/63  หมู่บ้าน ฐานมั่นคง หมู่ที่ 1,ต.คลองโยง,อ.พุทธมณฑล,จ.นครปฐม,73170
71,0735561007118,บจ.ไทยมูฟ จำกัด,3/10/2561," 1,000,000 ",52291,ให้บริการโลจิสติกส์ เป็นตัวแทนรับจัดการขนสินค้า,6/99  หมู่ที่ 5,ต.คลองโยง,อ.พุทธมณฑล,จ.นครปฐม,73170
72,0735561007185,บจ.อ๊อกซีแม๊คซ์ จำกัด,5/10/2561," 1,000,000 ",46441,ประกอบกิจการนำเข้า ส่งออกเครื่องมือแพทย์,67/17  หมู่ที่ 1,ต.มหาสวัสดิ์,อ.พุทธมณฑล,จ.นครปฐม,73170
73,0735561007380,บจ.ภรปภา กรุ๊ป เกษตร จำกัด,12/10/2561," 1,000,000 ",46102,ประกอบกิจการนำเข้า ส่งออก และจำหน่ายข้าวสาร,88/48  หมู่ที่ 3,ต.ศาลายา,อ.พุทธมณฑล,จ.นครปฐม,73170
74,0735561007487,บจ.พี.ซี.เซอร์วิส พาร์ท จำกัด,18/10/2561," 1,000,000 ",45301,ประกอบกิจการนำเข้า ส่งออก จำหน่ายอะไหล่รถยนต์ใหม่ และรถยนต์เก่า ทุกประเภท,71/125  หมู่ที่ 11,ต.ไร่ขิง,อ.สามพราน,จ.นครปฐม,73210
75,0733561001215,หจ.ภูริก่อสร้าง2018,3/10/2561," 1,000,000 ",47525,ประกอบกิจการขายวัสดุก่อสร้างทุกชนิด,229/301  หมู่ที่ 4,ต.กระทุ่มล้ม,อ.สามพราน,จ.นครปฐม,73220
76,0733561001312,หจ.เจ วี เทค ช้อป,19/10/2561," 1,000,000 ",45201,ให้บริการติดตั้งอุปกรณ์และซ่อมแซมบำรุงรักษาชิ้นส่วนระบบเครื่องยนต์และชิ้นส่วนยานยนต์ทุกชนิด,12/168  หมู่ที่ 6,ต.กระทุ่มล้ม,อ.สามพราน,จ.นครปฐม,73220
77,0733561001371,หจ.เบน กรีนวอลล์ แอนด์ แลนด์สเคป,29/10/2561," 1,000,000 ",43301,ประกอบกิจการรับจ้างตกแต่ง ต่อเติม และออกแบบ สวนตามสถานที่ต่างๆ ทุกประเภท,101/69  หมู่ที่ 9,ต.กระทุ่มล้ม,อ.สามพราน,จ.นครปฐม,73220
78,0735561007177,บจ.สปอร์ต แอธลิท จำกัด,5/10/2561," 1,000,000 ",47630,ประกอบกิจการจำหน่ายเครื่องออกกำลังกายทุกชนิด,229/29  หมู่ที่ 4,ต.กระทุ่มล้ม,อ.สามพราน,จ.นครปฐม,73220
79,0733561001185,หจ.อณุชาโต 88 คอนสตรัคชั่น,1/10/2561," 500,000 ",43120,การเตรียมสถานที่การก่อสร้าง,2  หมู่ที่ 4,ต.ธรรมศาลา,อ.เมืองนครปฐม,จ.นครปฐม,73000
80,0735561007461,บจ.เอส.เอส.ซัพพลีเมนท์ จำกัด,18/10/2561," 500,000 ",21001,การผลิตเภสัชภัณฑ์และเคมีภัณฑ์ที่ใช้รักษาโรค,41/2  หมู่ที่ 1,ต.หนองปากโลง,อ.เมืองนครปฐม,จ.นครปฐม,73000
81,0733561001347,หจ.ฟร้องซ์-ฟู้ดส์,25/10/2561," 500,000 ",10132,ผลิตกุนเชียง,33  หมู่ที่ 5,ต.ท่าข้าม,อ.สามพราน,จ.นครปฐม,73110
82,0733561001398,หจ.ทาเล้นท์แล็บ,30/10/2561," 400,000 ",78101,กิจกรรมของบริษัทตัวแทนและสำนักงานคัดเลือกนักแสดง,94  หมู่ที่ 5,ต.คลองจินดา,อ.สามพราน,จ.นครปฐม,73110
83,0733561001291,หจ.บีบีจี เอเจนซี่ แอนด์ ทัวร์,16/10/2561," 300,000 ",79901,กิจกรรมของมัคคุเทศก์,24/19  หมู่ที่ 13,ต.โพรงมะเดื่อ,อ.เมืองนครปฐม,จ.นครปฐม,73000
84,0735561007541,บจ.อกาลิโก สไปซ์ จำกัด,24/10/2561," 150,000 ",10799,ประกอบกิจการผลิต จำหน่าย นำเข้า ส่งออก อาหารแปรรูป เครื่องเทศ สมุนไพร ทั้งในประเทศและต่างประเทศ,99/85  หมู่ที่ 1,ต.บ่อพลับ,อ.เมืองนครปฐม,จ.นครปฐม,73000
85,0733561001231,หจ.เนติ ทรานสปอร์ต,5/10/2561," 100,000 ",49323,ประกอบกิจการขนส่ง,40/71  หมู่ที่ 4,ต.คลองโยง,อ.พุทธมณฑล,จ.นครปฐม,73170
86,0735561007673,บจ.แปซิฟิกบลูมาร์คส่องโลก จำกัด,31/10/2561," 100,000 ",68201,กิจกรรมของตัวแทนและนายหน้าอสังหาริมทรัพย์โดยได้รับ ค่าตอบแทนหรือตามสัญญาจ้าง,33  หมู่ที่ 1 ซอยคลองโยง ถนนคลองโยง,ต.คลองโยง,อ.พุทธมณฑล,จ.นครปฐม,73170
87,0733561001223,หจ.เอส. ที ยูนิฟอร์ม,5/10/2561," 100,000 ",14120,ประกอบกิจการให้บริการออกแบบและตัดเย็บเสื้อผ้า เครื่องแต่งกาย เครื่องนุ่งหุ่ม ยูนิฟอร์ม,190/117  หมู่ที่ 7,ต.กระทุ่มล้ม,อ.สามพราน,จ.นครปฐม,73220
1,0745561009455,บจ.แอล อาร์ ห้องเย็น จำกัด,25/10/2561," 30,000,000 ",52101,ประกอบกิจการห้องเย็น,29/6  หมู่ที่ 3,ต.บางหญ้าแพรก,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
2,0745561009226,บจ.อนุสรณ์มหาชัยคอมเพล็กซ์ จำกัด,17/10/2561," 12,000,000 ",41001,ประกอบกิจการก่อสร้างคอนโดมิเนียม,68/87  หมู่ที่ 8,ต.ท่าทราย,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
3,0745561009234,บจ.อนุสรณ์มหาชัยพร็อพเพอร์ตี้ จำกัด,17/10/2561," 12,000,000 ",41001,ประกอบกิจการก่อสร้างคอนโดมิเนียม,68/87  หมู่ที่ 8,ต.ท่าทราย,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
4,0745561008637,บจ.พชร เมทัล เวอร์ค แมนูแฟคเจอริ่ง จำกัด,1/10/2561," 5,000,000 ",28150,ผลิตและจำหน่ายเตาเผาศพ,11/3  หมู่ที่ 4,ต.ชัยมงคล,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
5,0745561008670,บจ.ร้อยเรียง จำกัด,2/10/2561," 5,000,000 ",56101,ประกอบกิจการร้านอาหาร,39/99  หมู่ที่ 2,ต.บางกระเจ้า,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
6,0745561008874,บจ.ซีทีแอล เซ็นเตอร์ไลน์ จำกัด,8/10/2561," 5,000,000 ",74101,ประกอบกิจการให้บริการออกแบบตกแต่งภายในและภายนอกอาคาร,19/14  หมู่ที่ 2,ต.โคกขาม,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
7,0745561008912,บจ.ซุ่นไท่ก๋วงจี้ฝานเป่า จำกัด,9/10/2561," 5,000,000 ",20131,ประกอบกิจการผลิตและจำหน่ายเม็ดพลาสติก,60/1  หมู่ที่ 2,ต.ท่าทราย,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
8,0745561008955,บจ.เหย้า หมิง (ประเทศไทย) จำกัด,10/10/2561," 5,000,000 ",46599,ประกอบกิจการนำเข้าเครื่องจักร,62/59  หมู่ที่ 2,ต.นาดี,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
9,0745561009293,บจ.ซินเต๋อ (ไทยแลนด์) จำกัด,18/10/2561," 5,000,000 ",46622,ประกอบกิจการส่งออก จำหน่าย ทองเหลือง,2/7  หมู่ที่ 6,ต.นาโคก,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
10,0745561009382,บจ.ท็อปสตีล โปรดักส์ จำกัด,24/10/2561," 5,000,000 ",47190,ประกอบกิจการขายส่งขายปลีกชั้นวางของ,55/17  หมู่ที่ 5,ต.บางน้ำจืด,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
11,0745561009391,บจ.ซึ่น ซินต๋า ไท่กั๋ว โซ่เจียว จำกัด,24/10/2561," 5,000,000 ",20131,ผลิตและจำหน่ายนำเข้าและส่งออกเม็ดพลาสติก,80  หมู่ที่ 6,ต.บ้านเกาะ,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
12,0745561009544,บจ.ซีบอร์น ฟู้ดซัพพลาย จำกัด,29/10/2561," 5,000,000 ",46319,ประกอบกิจการค้าอารหารทะเล แห้ง แช่แข็ง รวมทั้งผลิตภัณฑ์จากอาหารทะเลทุกชนิด,55/83  หมู่ที่ 6,ต.ท่าทราย,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
13,0745561008921,บจ.วงศ์  ปาร์ค จำกัด,9/10/2561," 5,000,000 ",91032,กิจกรรมการอนุรักษ์ธรรมชาติ,99/54  หมู่ที่ 4,ต.ท่าเสา,อ.กระทุ่มแบน,จ.สมุทรสาคร,74110
14,0745561009129,บจ.เรียล ริช สเตท จำกัด,16/10/2561," 5,000,000 ",68101,การซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเอง เพื่อการพักอาศัย,29/9  หมู่ที่ 2 ซอยปล่องเหลี่ยม 11,ต.ท่าไม้,อ.กระทุ่มแบน,จ.สมุทรสาคร,74110
15,0745561009404,บจ.บางกอก พลาสติก (2018) จำกัด,24/10/2561," 5,000,000 ",46694,จำหน่ายผลิตภัณฑ์พลาสติก,109/47  หมู่ที่ 1,ต.ดอนไก่ดี,อ.กระทุ่มแบน,จ.สมุทรสาคร,74110
16,0745561009447,บจ.นิกิแพค (ประเทศไทย) จำกัด,25/10/2561," 5,000,000 ",46694,ประกอบกิจการซื้อขาย นำเข้า ส่งออก และผลิตบรรจุภัณฑ์ที่ทำจากกระดาษและวัสดุอื่นๆ ทั้งในและต่างประเทศ,70  หมู่ที่ 4,ต.ท่าไม้,อ.กระทุ่มแบน,จ.สมุทรสาคร,74110
17,0745561009480,บจ.อินฟินิตี้ พลาสติก เทรดดิ้ง จำกัด,26/10/2561," 5,000,000 ",46693,ประกอบกิจการนำเข้า-ส่งออก ซื้อขาย ผลิต จำหน่ายเกี่ยวกับเม็ดพลาสติก พลาสติก ทุกชนิด รวมถึงเครื่องจักร,119/1  หมู่ที่ 7,ต.คลองมะเดื่อ,อ.กระทุ่มแบน,จ.สมุทรสาคร,74110
18,0745561009013,บจ.อ๊อตเทริ วอช แอนด์ ดราย จำกัด,10/10/2561," 4,000,000 ",96202,ประกอบกิจการให้บริการร้านสะดวกซักแบบหยอดเหรียญ,33/24  หมู่ที่ 6,ต.บางน้ำจืด,อ.เมืองสมุทรสาคร,จ.สมุทรสาคร,74000
